id,Message,truth,cube,google,google_spam,google_not_spam,ibm,ibm_spam,ibm_not_spam
275,rfirst  flat owners can now save up to rs  lacs dosti ambrosia wadala    bhks ready possession wid oc rs  cr for details call,spam,spam,not-spam,0.141098,0.858902,not-spam,0.054746966,0.945253034
276,frsemi furnished  bhk apartments in crossing republic nh rs psf size starting from  sqft call,spam,spam,not-spam,0.337996,0.662004,not-spam,0.222709098,0.777290902
277,runbelievable offer semi furnished  bhk apartments in crossing republic nh rs psf size starting from  sqft call,spam,spam,spam,0.775819,0.224181,spam,0.989313974,0.010686026
278,now its chance to own ur house in gurgaon lake front appts  bhk in cost of  bhk rs  lacs only  easy payment plan inaugdisc limited units ph,spam,spam,spam,0.973522,0.026478,spam,0.675200039,0.324799961
279,a classapart  bhk in vesuavenue  desgnedplannedby bestarchitect mrhafeez contractor  club class amenites excellentquality ofconstruction,spam,spam,spam,0.591448,0.408552,not-spam,0.048022484,0.951977516
280,haryana govt affordable housing scheme at sohna road gurgaon delhi ncr bhklac all incl booking amt loan lmt inventoryto apply sms bmh to,spam,spam,not-spam,0.106031,0.893969,not-spam,0.055753597,0.944246403
281,ye nahi dekha toh kuch nahi dekha  visit prop expo wid family  bhk startslac bookk only lac discount and many more offer  book free cab,spam,spam,spam,0.998459,0.001541,spam,0.995521686,0.004478314
282,dont miss book now or regret  supertechofficers enclave bhk apt in largest hill view  in south of gurgaon  just lacs onwards  call,spam,spam,spam,0.983444,0.016556,spam,0.976399005,0.023600995
283,avj heights presentsrready to move inrrjust pay   move in todayr happy families moved inrr bhk availablerstarts  lacsrrhurry call,spam,spam,spam,0.634879,0.365121,not-spam,0.257933766,0.742066234
284,gls arawali homesrbhk in just lacsrrunder huda govt affordable housingrsouth of gurgaonr home loanrpay  to bookrrfew units left call,spam,spam,not-spam,0.26452,0.73548,not-spam,0.056708129,0.943291871
285,haryana govt affordable housing scheme in south gurgaon sohna bhklacs all incl loan  guaranteed allotment to book sms khs to,spam,spam,not-spam,0.383652,0.616348,not-spam,0.229556319,0.770443681
286,heavy discount of rrmodern living with cheapest pricerrjee haan ransal aquapolisr   bhkrrsirf rs sqft all inclusiverrhurry call,spam,spam,spam,0.588037,0.411963,spam,0.971435626,0.028564374
287,mera sapna mera ghar at neotown  bhk  lac  free club  free parking  free maintenance  limited left  call,spam,spam,spam,0.836704,0.163296,not-spam,0.031101605,0.968898395
288,rheja devlprs with lt and arabtec launching maheshwara luxury homes at sohna road ggn bhksqft  only  pay plan cl,spam,spam,spam,0.958255,0.041745,spam,0.779010843,0.220989157
289,godrej properties  prelaunching luxury projectyelahankablore   acres bhk gfloors sqft to sqft  call godrej properties mob,spam,spam,spam,0.501995,0.498005,spam,0.892706251,0.107293749
290,godrej properties  new prelaunchyelahankablore   acres   bhk  g floors  sba sqft  call godrej properties mob,spam,spam,not-spam,0.387122,0.612878,spam,0.758559761,0.241440239
291,investment opportunity in hoskote pay lac  book your apts assured monthly rental upto  k  bhk start from  lac onward  plan call,spam,spam,not-spam,0.067245,0.932755,not-spam,0.1088935,0.8911065
292,bhk at rs lac prestige lake ridge  uttarahalli off kanakpura road world class amenities in  acres for early bird offer call,spam,spam,spam,0.858939,0.141061,spam,0.994321819,0.005678181
293,early bird offerr bhk at rs lac onwardrnear forum value mall whitefieldra category developerrcall,spam,spam,not-spam,0.292355,0.707645,not-spam,0.12101595,0.87898405
294,bhkrinvestment start from  lac onwardrhottest investment opportunity in whitefieldrget  assured returns in  yrsr planrcall,spam,spam,not-spam,0.168531,0.831469,not-spam,0.04993716,0.95006284
295,bhk luxury apartments starting from  lacrlocated off kanakpura roadrearly bird prelaunch offer by prestigercall for more details,spam,spam,spam,0.89992,0.10008,spam,0.99412695,0.00587305
296,early bird prelaunch offer by prestige located off kanakpura rdr bhk luxury apartments starting from  lacsrcall for more details,spam,spam,spam,0.89712,0.10288,spam,0.994041782,0.005958218
297,godrej properties launcheskanakapura rd  areaacres g flats bhksft to sft bhksft to sft  callgodrej properties mob,spam,spam,not-spam,0.355206,0.644794,spam,0.885274605,0.114725395
298,hottest investment opportunity in whitefield get  assured returns in  yrs  bhk investment start from  lac onward  call,spam,spam,spam,0.715389,0.284611,spam,0.892237663,0.107762337
299,bhk investment start from  lac onward hottest investment opportunity in whitefield get  assured returns in  yrs  plan call,spam,spam,spam,0.591585,0.408415,spam,0.882424599,0.117575401
300,abrfirst time in india bhk smart homes control everything in ur home by ur persnal mobile phone location in nh ghzbd book rs cal,spam,spam,not-spam,0.042133,0.957867,not-spam,0.376727102,0.623272898
301,hurry own luxury home in new delhi  bhk   lac near igi airport diplomatic encl  upcmg delhi nr delhi metro largest golf course ph,spam,spam,spam,0.945367,0.054633,spam,0.993440026,0.006559974
302,dac prmters   flat kundratur juz  mts frm main rad bhklkall incl only few flats avl psesin in month  fr free site visit cl,spam,spam,spam,0.870081,0.129919,not-spam,0.337098929,0.662901071
303,arun excello bhk flat   lacs all inclusive on lane road near poonamallee call,spam,spam,spam,0.636502,0.363498,spam,0.935575925,0.064424075
304,apply today  days left supertech basera gurgaon under huda govt affordable policy  bhk in  lac  loan book   few units left call,spam,spam,spam,0.946226,0.053774,not-spam,0.242622381,0.757377619
305,haryana govt affordable housing scheme at sohna road gurgaon bhklac all incl booking amt  loan  visit wwwbookmyhousecom or call,spam,spam,not-spam,0.04706,0.95294,not-spam,0.007062689,0.992937311
306,bhklac bhklac m,spam,spam,spam,0.765124,0.234876,spam,0.936114989,0.063885011
307,bhk apts indirapuram xtn gzd nearby shipra mallfngmtr road construction in full swingacr park five star lobby furnished interior cl,spam,spam,not-spam,0.396061,0.603939,spam,0.864206602,0.135793398
308,namaskar mitron aaj  march ki date mein boc jama karwane ka antim din haiboc  baje dopahar tak jama karvayen hamari branch ko vigat varsh ke barabar nb ke liye aaj harek agent se minimum  policy awashya jama karen proposal form  din baad bhi dekar complete karwa sakte hainaapko yadi mere se pichhle  saal mein koi bhi sahyog mila ho to aaj tanmandhan se sahyog karenaur aapki apni branch aur mera dono ke samman ki raksha karenshubhkamnayen,spam,spam,spam,0.999295,0.000705,spam,0.99364388,0.00635612
309,taruchaya residency  g  bhk flats  opp heerapura powerhouse ajmer raod jaipur   mins from vaishali nagar  adjoining  bigha jda park  call,spam,spam,not-spam,0.42524,0.57476,not-spam,0.007746307,0.992253693
310,purvankara pre launch beach lifestyle apts luxury bhk  psf ofr fr  unit locatedkeshavnagar mundhwa nr kharadi pune ofr valid fr  days,spam,spam,spam,0.982422,0.017578,spam,0.995872853,0.004127147
311,supertech launch residential project azalia sector gurgaon  bhk book by paying  only,spam,spam,spam,0.8898,0.1102,spam,0.64382239,0.35617761
312,c mm launches  bhk resort style apts on golf course extn gurgaon pay   nothing till possession price starts  lacs onwards ct  h,spam,spam,spam,0.995126,0.004874,spam,0.995171386,0.004828614
313,rconfirmed allotment affordable home bhk near nh dlfgurgaon buy ur home lac  bank loan free car parking few units left call now,spam,spam,not-spam,0.489262,0.510738,not-spam,0.077610878,0.922389122
314,itihaas me pehi baar    possession in just  months    saal ke sabse saste  dino me  bhk  just rs  lacs   in svp raj ngr extn   call,spam,spam,spam,0.99614,0.00386,spam,0.977839374,0.022160626
315,patanjali haridwar k sath me apna ghar book kare main hiway bhk   lac  saal me rehna shuru kare  paisa  saal ki byaj mukt emis me de cal,spam,spam,spam,0.999995,0.000005,spam,0.994179081,0.005820919
316,gurgaon huda approved flats  bhkl all inclusive  free parking loan    confirm allotment   flats already sold m,spam,spam,spam,0.707614,0.292386,not-spam,0.052693483,0.947306517
317,pay just rs  book a home in rise ohbhk apt wth rooftop infinty pool  amentisbang on lane nh ghaziabadbest ratespho,spam,spam,spam,0.888825,0.111175,spam,0.94474601,0.05525399
318,bhk  sq ft l all incl at south of ggn shna pay  now to book  get free home furnishing voucher of rs  lac to know sms bmh to,spam,spam,spam,0.977434,0.022566,spam,0.994245672,0.005754328
319,investment chance  savvy launches bhk apartment at just  lacs at swaraj sport city ahmedabad  booking amt    loan paper   call,spam,spam,not-spam,0.486921,0.513079,not-spam,0.06494698,0.93505302
320,godrej properties signature  bhk homes godrej summit secgurgaon price starts rs  cr attractive  payment plan miss call,spam,spam,not-spam,0.204153,0.795847,spam,0.799898417,0.200101583
321,saal k sabse saste  din  sg grand raj nagarextn mein laye hain  bhk lacsall inclusive  bhkmini lacs all inclusive hurry limited units for booking assistance call jmd group  r r,spam,spam,spam,0.64144,0.35856,spam,0.975233294,0.024766706
322,dac promoters  summer offer semi furnished flats with modular kitchen juz  km from pallavaram  bhk  lacall incl ready to move one flat avail for,spam,spam,not-spam,0.482522,0.517478,spam,0.97415731,0.02584269
323,book ultra luxury flat in jewel of india jln marg jaipur     bhk flats  sample flat ready  construction in full swing  call vishal tambi,spam,spam,spam,0.667806,0.332194,spam,0.971284308,0.028715692
324,ready to move bhk krish city ii residential apartments in bhiwadi starting at l we share  emi till yrs  free registry call,spam,spam,spam,0.978575,0.021425,spam,0.99471126,0.00528874
325,rdont miss supertech present bhk apts in largest hill view townshipbook rslac only in south gurgaon lac wooden flooring cal,spam,spam,spam,0.970769,0.029231,spam,0.977502447,0.022497553
326,investment chance   savvy launches bhk apartment at just  lacs at swaraj sport city    booking amt     loan paper   call,spam,spam,not-spam,0.468976,0.531024,not-spam,0.065411249,0.934588751
327,godrej avenue launchesyelahanka  acres bhk sft to sft  pay  payment holiday till yr  scheme  callgodrej property ph,spam,spam,spam,0.905202,0.094798,spam,0.983434414,0.016565586
328,live in luxury own  bhk in powai mumbai near powai lake k families living min airport only cr book  get a luxury car call,spam,spam,spam,0.997141,0.002859,spam,0.978673625,0.021326375
329,crpay only  now  nothing for the next  yrs presenting wadhwa courtyard  bhks  pokhran rd  thanew homes starting rs cr call,spam,spam,spam,0.967127,0.032873,not-spam,0.049741617,0.950258383
330,wn  bhk in bulland elevates gaur township nida ext spcl  week offer nly lac all incl free parkingclub possn mid call   l,spam,spam,spam,0.917267,0.082733,spam,0.99493519,0.00506481
331,purvankara prelunch beach lifestyle apts lxury bhk psf ffer for  units locatedkeshavnagar mundhwa nr kharadi pune ffer valid for  days,spam,spam,spam,0.913582,0.086418,spam,0.99444913,0.00555087
332,come  be part of the latest town of the townjoynest moh excellent location on  ft wide airport road mohali  bhk  lacs call,spam,spam,spam,0.92671,0.07329,spam,0.921867489,0.078132511
333,syed aleem     bhk sq  ostwal orchid bldg  beverly park  lac negotiable price  ready to move condition urgent selling requirement,spam,spam,not-spam,0.39255,0.60745,not-spam,0.316737134,0.683262866
334,bhksq ftl only by indias top developer at sohna road gurgaoneasy  pay plan construction by arabtec of dubaito book sms maha to tc,spam,spam,not-spam,0.464994,0.535006,spam,0.959432073,0.040567927
335,bhk sq ftl only by raheja developers at sohna road gurgaoneasy  pay planluxury apartment with aravali viewlmt inventory call,spam,spam,spam,0.86886,0.13114,spam,0.661901043,0.338098957
336,bhksq ft l only by raheja developer at sohna road gurgaon easy  pay plan luxury apartments with aravali view to book sms maha to,spam,spam,spam,0.911751,0.088249,spam,0.994055458,0.005944542
337,bookmyhousecom organising site visit for haryana govt affordable housing scheme at south of gurgaon sohna bhk lac all inclusive to visit cl,spam,spam,not-spam,0.268189,0.731811,not-spam,0.051676026,0.948323974
338,rishabh group  corporation bank presents kismat calling offer bhk at indirapuramghaziabad chance to get  discount call homzcart,spam,spam,spam,0.947506,0.052494,spam,0.994142509,0.005857491
339,berget  bhk at upto  discount kismat calling offer hindon green valley cloud indrapuram corporation bank loan by rishabh group call,spam,spam,not-spam,0.251173,0.748827,spam,0.821756896,0.178243104
340,upgrade to a  bhk   lacs onlyrrwith a modern gymrlow rise with elevatorsrswanky clubrjogging trackrrupgrade to joynest zrkrrcall,spam,spam,spam,0.907867,0.092133,not-spam,0.078629682,0.921370318
341,upgrade to  bhkrr  lacsrr ft wide airport roadrshopping arcaderopen gymrparty lawns and clubrrupgrade to joynest mohrrcall,spam,spam,not-spam,0.316863,0.683137,not-spam,0.075005708,0.924994292
342,sushma joynest moh mohalir bhk   lacs hurry rr ft wide airport roadrshopping arcaderparty lawns and clubrrcall,spam,spam,spam,0.979413,0.020587,spam,0.977444431,0.022555569
343,book ur dream home  bhk flat in neemrana close to japan italy singapore zone high assured rental income just pay  only for info call,spam,spam,spam,0.739888,0.260112,not-spam,0.065094009,0.934905991
344,avj heights presents ready to move in  just pay   move in today  happy families moved in   bhk available starts  lacs  hurry call,spam,spam,spam,0.953426,0.046574,spam,0.994602138,0.005397862
345,bhk  rsper sqft in prime location of sec  gurgaon on plp subvention scheme project nearing completion ltd inventory available call,spam,spam,not-spam,0.289951,0.710049,not-spam,0.09334486,0.90665514
346,unbelievable but truerbook bhk flat in gurgaonrsecharyanna govt apprvdrstartingldraw resultrpossn in yrbuk by  onlyrcall,spam,spam,not-spam,0.156196,0.843804,not-spam,0.054679347,0.945320653
347,unbelievable but true book bhk flat in gurgaon secharyanna govt apprvd startingldraw result possn in yrbuk by  only call,spam,spam,spam,0.641294,0.358706,not-spam,0.069759331,0.930240669
348,book ur bhk apttsrin prime locatn of secrgurgaonrssqftron plpsubventn scheme rproject near completionrlmtd inventory availablercall,spam,spam,spam,0.541639,0.458361,not-spam,0.04836476,0.95163524
349,bhk by tata housing  sec gurgaonrpay  now  rest on possession in rstart frm rscrrcall,spam,spam,not-spam,0.387244,0.612756,not-spam,0.331344181,0.668655819
350,book  bhksqft in prime locatn secggn on plpsubvention scheme hurry rate revising soon for confirm booking call,spam,spam,not-spam,0.216459,0.783542,spam,0.846248397,0.153751603
351,amazing deal ffer on ready poss apts till gudi padwa bhks dlh udaka gorgaon w at rs psf or else rs psf later  httpbitlyvminfr,spam,spam,spam,0.921991,0.078009,spam,0.944700226,0.055299774
352,book ready pssession bhks at dlh pride off sv road opp bata showroom malad west call to visit sample flt  httpbitlyoxgzzp r r hurry now,spam,spam,spam,0.989233,0.010767,spam,0.994968887,0.005031113
353,amazing deal ffer on ready poss apts till gudi padwa bhk dlh udaka gorgaon w at rs psf or else rs psf later  httpbitlyvminfr,spam,spam,spam,0.931942,0.068058,spam,0.952416997,0.047583003
354,dda approved  bhk aptinrdwarka unbelievable pricerstart rs lacrbook in lac onlyrnext to igi airportgolf course  metrorfree visit,spam,spam,not-spam,0.277772,0.722228,not-spam,0.234665878,0.765334122
355,get flat in dda approved lzone delhi  bhk sqft near sec  dwarka metro embassay golf courseit park call at,spam,spam,spam,0.979595,0.020405,spam,0.994243961,0.005756039
356,never before pay only  lacs  book fully loaded dream home no emi till posession  bhk appts south gurgaon get gold coin ltd offer ph,spam,spam,spam,0.999995,0.000005,spam,0.996515407,0.003484593
357,fdarown ur dream home most attractive price with lifestyle amenities    bhk apts in goregaon e booking amt  only call chandak group on,spam,spam,not-spam,0.103683,0.896317,not-spam,0.057363979,0.942636021
358,fbefrbook  bhk ekta parksville virarw in  scheme pay govt chgs to book  by loan   before possession apts frm  lacs cal,spam,spam,not-spam,0.268211,0.731789,not-spam,0.024534348,0.975465652
359,ridhi sidhi sab kam purn hoy apko aur apke pariwar ko holi ki hardik subhkamnayamit vermashine city,spam,spam,spam,0.789051,0.210949,spam,0.993910059,0.006089941
360,central housing scheme only for govtpsucorp emp almost ready to move bhk rs l acmodular kitchenwardrobe booking amt  loan avail cl,spam,spam,not-spam,0.017062,0.982938,not-spam,0.031667252,0.968332748
361,central housing scheme only  govtpsucorp emp almost ready to move bhk l acmodular kitchenwardrobe booking amt  loan avail till jan,spam,spam,not-spam,0.472979,0.527021,not-spam,0.056606656,0.943393344
362,higovtaffordable flats scheme faridabad most prime location in sec  near dps school bhk total   lacs confirm allotment with  bank loan,spam,spam,not-spam,0.099753,0.900247,not-spam,0.006558473,0.993441527
363,bhk rsl all incl wardrobe mod kitchen ac free victoryone amara  plan nr metro stn possesn  cl,spam,spam,not-spam,0.138908,0.861092,not-spam,0.049739498,0.950260502
364,hurryrlast  days left to avail surprises upto lacrbhk homes atmosphere mulund rscrrbook by paying   no emi till fitoutwadhwa grouprcal,spam,spam,spam,0.892423,0.107577,spam,0.993661296,0.006338704
365,bhk rs l all inclusive hot project sikka kaamya  prime location hurry price revising soon call,spam,spam,spam,0.808574,0.191426,spam,0.934049693,0.065950307
366,central housing scheme only for govtpsucorp emp bhk at rsl acmodular kitchenwardrobe pay  nothing till possn loan avail atall bank cl,spam,spam,spam,0.946856,0.053144,spam,0.938613203,0.061386797
367,central housing scheme only  govtpsucorp emp almost ready to move bhk l acmodular kitchenwardrobe buking amt  loan avail till  jan,spam,spam,spam,0.903283,0.096717,not-spam,0.060640157,0.939359843
368,fabrconfirmed allotment affordable home bhk near nh dlfgurgaon buy ur home lac  bank loan free car parking few units left call now,spam,spam,not-spam,0.489262,0.510738,not-spam,0.077610878,0.922389122
369,celebrate this holirsapno ka ghar ab sirf  lac mein ropp metro station rmigsun wynn laye hai  bhk budget home rnow book just   call,spam,spam,spam,0.993646,0.006354,spam,0.995290428,0.004709572
370,ardont miss supertech present bhk apts in largest hill view township book rslac onlyin south gurgaon lac wooden flooring cal,spam,spam,spam,0.898342,0.101658,spam,0.971737306,0.028262694
371,first time in delhi vatika launches  bhk apts on dwarka express way starting from  lac only luxury flats fully furnished best location call,spam,spam,spam,0.936628,0.063372,spam,0.973404933,0.026595067
372,come live the american lifestyler  r get bhk options r r from just  psf r r great pay options r r near metro station r r call,spam,spam,not-spam,0.123997,0.876003,spam,0.973960964,0.026039036
373,haryana govt affordable housing schemerat sohna south of gurgaon bhk lac all inclrbooking amt loan rlimited units leftrto book sms khs to,spam,spam,not-spam,0.14136,0.85864,not-spam,0.039155454,0.960844546
374,raheja maheshwara luxury homes at sohna road gurgaon bhksq ft   lac all incl pay  now rest on possession to book call,spam,spam,spam,0.900032,0.099968,spam,0.99213812,0.00786188
375,last chance to book   bhk apartments  commercial shops on raebareilly road   vrindavan yojna  affordable price  attractive payment plan  call,spam,spam,not-spam,0.017546,0.982454,spam,0.951696484,0.048303516
376,pay lac now  no emi till possession for bhk at mantra happy homes by crc in haridwarnear radisson hotelloan from sbi good rental income call,spam,spam,spam,0.896348,0.103652,not-spam,0.460651382,0.539348618
377,book your home  lac only in paarth republic on lucknowkanpur highway st smart city of lucknow  bhk   lac visit today for disc  pho,spam,spam,spam,0.936325,0.063675,spam,0.986265055,0.013734945
378,haryana govt affordable housing scheme at sohna road gurgaon delhi ncrbhkl all inclbooking amt loan limited units leftto book call,spam,spam,spam,0.565533,0.434467,not-spam,0.049022178,0.950977822
379,hurry last  days left to avail surprises upto lac bhk homesatmosphere mulund rs cr book by paying   no emi till fitout possession call,spam,spam,not-spam,0.311044,0.688956,spam,0.856351284,0.143648716
380,dac promotersr ready to occupy flats juz km from pallavaram bhk  lac all incl only few flats avail with private terracer more detailsr cl,spam,spam,spam,0.544071,0.455929,not-spam,0.25667218,0.74332782
381,bhksq ftl all incl by indias top developer at sohna road gurgaon easy  pay plan to enquire sms maha to,spam,spam,not-spam,0.421963,0.578037,spam,0.970465767,0.029534233
382,lda allotted ready to move  bhk premium luxury  green facing  flats available on pay only  no emi till possession festival dhamaka offer worth  lacs free booking lac only offer  for limited flats  contact,spam,spam,spam,0.999776,0.000224,spam,0.995348186,0.004651814
383,book your own piece of heaven in raheja maheshwara  luxury homes gurgaon  bhk sqft  lac all incl  call us,spam,spam,not-spam,0.337792,0.662208,spam,0.956986115,0.043013885
384,bhk l,spam,spam,spam,0.595074,0.404926,not-spam,0.11144372,0.88855628
385,hurry amara housing scheme presents fully funnished bhkstudy room just lac pay  now opp metro station offer valid til feb call,spam,spam,spam,0.999636,0.000364,spam,0.995127161,0.004872839
386,who says a home in gurgaon is beyond reach raheja maheshwara bhkl only pay  now  rest on possession to book sms maha to,spam,spam,spam,0.910542,0.089458,spam,0.675010947,0.324989053
387,arun excello proudly launching compact homes sankara mambakkam  bhk rs laks   bhk rs laks onwards all inclusive call,spam,spam,not-spam,0.3149,0.6851,spam,0.645578366,0.354421634
388,ypay just rsooo  book a home in rise ohbhk apt with rooftop infinity pool  amenitiesbang on lane nh ghaziabad best rates cl o,spam,spam,spam,0.995615,0.004385,spam,0.994507933,0.005492067
389,own ur home in new delhi  bhk   lac near igi airport diplomatic encl  upcmg delhi nr delhi metro largest golf course all amenities ph,spam,spam,spam,0.691845,0.308155,spam,0.786827409,0.213172591
390,nvr before  nvr againrunbelivble price  premiumrlvng in gurgaon by vatika r bhk premium apttsrrelaxd mnthly ecs paymntrcall,spam,spam,not-spam,0.432977,0.567023,spam,0.951283241,0.048716759
391,ready to move  bhk  study room  lac nirala estate  payment plan free ac  woodwork modular kitchen offer on    april donot miss ph,spam,spam,not-spam,0.194232,0.805768,spam,0.960620659,0.039379341
392,april bonus is here spaze offers u chance to book bhk aptts in sec gurgaonbuk now at  only in navaratri call,spam,spam,spam,0.995006,0.004994,spam,0.994878313,0.005121687
393,april bonus is here  bhk   sqft in gurgaon project near completion book now   only in navaratri call,spam,spam,spam,0.966181,0.03382,spam,0.975896935,0.024103065
394,housing scheme at sohnarrdgurgaonbhk lacr bhk lac all inclsvrbooking amount  onlyrand  loan availablerfor confirm bookingrcall,spam,spam,not-spam,0.293579,0.706421,not-spam,0.006351773,0.993648227
395,april bonus is hererthis navratri spazeroffers u chance to bookrbhk in sec gurgoanrbook now   onlyrfor details  bookingrcall,spam,spam,spam,0.678627,0.321373,spam,0.993295005,0.006704995
396,now or never supertech best offer  families already living pay rs  lacs for   bhk book your dream home limited units left ph,spam,spam,spam,0.999132,0.000868,spam,0.995133076,0.004866924
397,nvr before  nvr againrunbelivble price  premiumrlvng in gurgaon by vatika rbhk premium apttsrrelaxd mnthly ecs paymntrcall,spam,spam,spam,0.53196,0.46804,spam,0.987402588,0.012597412
398,book  bhk  rssqft at prime location sec gurgaon sample apt ready on subventionplp scheme ltd inventory available call,spam,spam,spam,0.589351,0.410649,spam,0.928965264,0.071034736
399,never before  never again unbelievable price  premium living in gurgaon by vatika   bhk aptts relaxd mnthly ecs pymnt call,spam,spam,spam,0.601854,0.398146,spam,0.989779168,0.010220832
400,premium lvng in gurgaonrby vatika group bhkraptts wid unbelievable pricerrelaxd mnthly ecs paymentrfor details and bookingrcall,spam,spam,not-spam,0.481867,0.518133,not-spam,0.008800308,0.991199692
401,nvr before  nvr againrunbelievable price andrpremium lvng in gurgaonrby vatika bhk apttsrrelaxd mnthly ecs pymntrcall,spam,spam,spam,0.667502,0.332498,spam,0.650579831,0.349420169
402,book ur dream home bhk just in rs  nothing till monthsat prime location on nhopt columbia hospitalghaziabadcall,spam,spam,spam,0.953654,0.046346,spam,0.950046868,0.049953132
403,miss than regrate book ur  bhk flat in just  lac sohna rd ggn maintenence free scheme no extra charges for plccorner free modular kitchen ph,spam,spam,spam,0.953958,0.046042,spam,0.976440376,0.023559624
404,book bhk apartments rs per sqft at prime location sectorgurgaon on subventionplp scheme limited inventory available call,spam,spam,spam,0.583913,0.416087,spam,0.9688744,0.0311256
405,limited inventory leftrbook your  bhk apttsrat prime location secrgurgaon on subventnplprschemesmple flat readyrcall,spam,spam,not-spam,0.248315,0.751685,not-spam,0.037536384,0.962463616
406,donot miss now  tata housing biggest prelaunch offer ever   bhksec gurgaon  pay  now  rest on posession  km from delhi  airport  ph,spam,spam,spam,0.999006,0.000994,spam,0.995337216,0.004662784
407,now or never panchsheel greens  ready for possession  bhk  best price pay only  lacs rest on possession offer of the month limited units ph,spam,spam,spam,0.999996,0.000004,spam,0.996361267,0.003638733
408,book  bhk  study apartments in prateek grand city nxt to indirapuram sqft at rs l onwrds pay just  now  no emi till mnths call,spam,spam,spam,0.997655,0.002345,spam,0.994736131,0.005263869
409,be a proud owner of  bhkprime locatn sec ggnbookrs per sqft on subventionplp scheme limited inventory available call,spam,spam,spam,0.917561,0.082439,spam,0.994265338,0.005734662
410,golden chance to own ur house in gurgaon lake front appts  bhk in cost of  bhk rs  lacs only  easy payment plan inaug disc limited units ph,spam,spam,spam,0.904013,0.095987,spam,0.702327297,0.297672703
411,haryana govt approvedrnew affordable projectr bhk flats at secggnrbook by possn in yrsrfor more info give a missrcall,spam,spam,spam,0.75714,0.24286,not-spam,0.065141801,0.934858199
412,hurry central park launching soon lake front appts  bhk   lacs only  south of gurgaon plpsubvention avbl inaugural disc limited units ph,spam,spam,spam,0.98409,0.01591,not-spam,0.171324468,0.828675532
413,spaze present bhkraptsrssqft only onrsubventionplp plan ltd rapts of  bhkrs lacronly at sec gurgaonrcall,spam,spam,spam,0.904997,0.095003,not-spam,0.082598794,0.917401206
414,nvr before  nvr againrunbelivble price  premiumrlvng in gurgaon  bhkrpremium aptts by vatika rrelaxd mnthly ecs paymntrcall,spam,spam,spam,0.52978,0.47022,spam,0.97859481,0.02140519
415,vatika presents premium living  unbelievable price in gurgaonbhk aptts relaxd mnthly ecs paymnt for details  booking call,spam,spam,not-spam,0.04587,0.95413,not-spam,0.214816674,0.785183326
416,now or never come live the american lifestyle soon get  bhk   lacs next to pari chowk  opp gn authority nr metro station ph,spam,spam,spam,0.998833,0.001167,spam,0.996071688,0.003928312
417,book a smart home in sec sohna gurgaon  bhk lacs  booking amt free maintance no plc for corner  road modular kitchen call,spam,spam,not-spam,0.490292,0.509708,not-spam,0.313197746,0.686802254
418,bhk residences by cascade gardens in gurgaon pay only  now  nothing till possession starts   lac ltd units left call,spam,spam,spam,0.998159,0.001841,spam,0.994880706,0.005119294
419,ghar aapka rate aapka indirapuram ki location mai aapka ghar pay now  no emi till  bhk aptlac only consrn swingmetro reputed buldr ph,spam,spam,spam,0.99976,0.00024,spam,0.995668159,0.004331841
420,aapko aur aapke parivaar ko hamari aur se navratri ki hardik subhkaamnaye    jai mata di dp,spam,spam,spam,0.960971,0.039029,spam,0.975946525,0.024053475
421,aapko aur aapke parivaar walo ko nav varash  ki hardik subhkamnaye hum dua karte hai ki aapka aanewala samay acha aur khusiyo bhara bite by vicky,spam,spam,spam,0.743163,0.256837,spam,0.974754184,0.025245816
422,do u want to live in a big flat last chance to book big size bhk  ready to move in starting lacexotica dream ville near gaur chowkct,spam,spam,not-spam,0.085694,0.914306,spam,0.968025845,0.031974155
423,premium project with all amenities off western express highway malad east possession in  months   bhk at  crs   bhk at  crs call on,spam,spam,spam,0.946809,0.053191,spam,0.938931573,0.061068427
424,indiabulls idsl offers bhk rs in vasant oasis spread across acres with  lifestyle features  k sqft club house  andherie call,spam,spam,spam,0.830897,0.169103,spam,0.991373059,0.008626941
425,qhighrise  bhk appt in delhi  starting from lac shops starts from lac in dwarka ext l zone nr igi airportgolf course  metro   iramya,spam,spam,not-spam,0.115177,0.884823,spam,0.95555794,0.04444206
426,eldeco accolade site event only for proptiger clients discount of upto rs lacs for on spot booking  bhk at rs lac at sec  sohna call,spam,spam,spam,0.523711,0.476289,spam,0.871901993,0.128098007
427,mahila awas yojna in rajnagar extr bhk sirf rs  lacrregistration sirf rs mercall,spam,spam,spam,0.711504,0.288496,spam,0.973677676,0.026322324
428,emi freedom planr r pay nothing till possnr r no emipost possn for yearr r bhk lac all incr r call,spam,spam,spam,0.567146,0.432854,spam,0.962027566,0.037972434
429,april bonus is hererspaze offers you chancerto book bhk aptts inrsec gurgaonbuk nowrat  only in navaratrircall,spam,spam,spam,0.949886,0.050114,spam,0.978657761,0.021342239
430,navratri special offer book bhk aprtmnts in spaze in sec gurgoan april bonus pay only  project near completion for details  booking call,spam,spam,spam,0.992307,0.007693,spam,0.995107882,0.004892118
431,bhk by tata housing  sec gurgaon pay  now  rest on possession in  start frm rscr call,spam,spam,spam,0.605829,0.394171,not-spam,0.445124685,0.554875315
432,bhk lacall incl under huda govt affordable housing scheme at south of gurgaon sohna booking amount  loan  for site visit sms khs to,spam,spam,not-spam,0.039091,0.960909,not-spam,0.00478877,0.99521123
